timestamp,value1,value2,value3,value4,value5
2nd September 2019,"[b'\\U0001f60a', b'\\U0001f609', b'\\U0001f619', b'\\U0001f643', b'\\U0001f604']"

1st September 2019,"[b'\\U0001f495', b'\\U0001f351', b'\\U0001f354', b'\\U0001f355', b'\\U0001f48e']"

31st August 2019,"[b'\\U0001f60d', b'\\U0001f618', b'\\U0001f60b', b'\\U0001f61c', b'\\U0001f595']"

30th August 2019,"[b'\\U0001f984', b'\\U0001f308', b'\\U0001f60e', b'\\U0001f607', b'\\U0001f608']"

29th August 2019,"[b'\\U0001f917', b'\\U0001f60a', b'\\U0001f618', b'\\U0001f60d', b'\\U0001f911']"

28th August 2019,"[b'\\U0001f60a', b'\\U0001f61c', b'\\U0001f618', b'\\U0001f436', b'\\U0001f427']"

27th August 2019,"[b'\\U0001f917', b'\\U0001f642', b'\\U0001f60d', b'\\U0001f914', b'\\U0001f618']"

26th August 2019,"[b'\\U0001f60a', b'\\U0001f917', b'\\U0001f61c', b'\\U0001f609', b'\\U0001f913']"

25th August 2019,"[b'\\U0001f607', b'\\U0001f425', b'\\U0001f369', b'\\U0001f415', b'\\U0001f420']"

24th August 2019,"[b'\\U0001f60d', b'\\U0001f600', b'\\U0001f618', b'\\U0001f917', b'\\U0001f602']"

23rd August 2019,"[b'\\U0001f60a', b'\\U0001f98b', b'\\U0001f353', b'\\U0001f4a9', b'\\u2764']"

22nd August 2019,"[b'\\U0001f60e', b'\\U0001f4a9', b'\\U0001f436', b'\\U0001f418', b'\\U0001f404']"

21st August 2019,"[b'\\U0001f600', b'\\U0001f643', b'\\U0001f60a', b'\\U0001f636', b'\\U0001f917']"

20th August 2019,"[b'\\U0001f602', b'\\U0001f603', b'\\U0001f643', b'\\U0001f60d', b'\\U0001f61c']"

19th August 2019,"[b'\\U0001f602', b'\\U0001f61c', b'\\U0001f61d', b'\\U0001f607', b'\\U0001f60d']"

18th August 2019,"[b'\\U0001f643', b'\\U0001f4af', b'\\U0001f917', b'\\U0001f60d', b'\\U0001f619']"

17th August 2019,"[b'\\U0001f431', b'\\U0001f427', b'\\U0001f64f', b'\\U0001f911', b'\\U0001f469']"

16th August 2019,"[b'\\U0001f618', b'\\U0001f917', b'\\U0001f643', b'\\U0001f606', b'\\U0001f606']"

15th August 2019,"[b'\\U0001f607', b'\\U0001f60a', b'\\U0001f60e', b'\\U0001f917', b'\\U0001f913']"

14th August 2019,"[b'\\U0001f607', b'\\U0001f911', b'\\U0001f601', b'\\U0001f60d', b'\\U0001f917']"

13th August 2019,"[b'\\U0001f911', b'\\U0001f913', b'\\U0001f642', b'\\U0001f609', b'\\U0001f60b']"

12th August 2019,"[b'\\U0001f61c', b'\\U0001f618', b'\\U0001f60e', b'\\U0001f911', b'\\U0001f917']"

11th August 2019,"[b'\\U0001f427', b'\\U0001f431', b'\\U0001f61b', b'\\U0001f600', b'\\U0001f425']"

10th August 2019,"[b'\\U0001f600', b'\\U0001f603', b'\\U0001f618', b'\\U0001f60a', b'\\U0001f642']"

9th August 2019,"[b'\\U0001f373', b'\\U0001f31a', b'\\U0001f335', b'\\U0001f62c', b'\\U0001f422']"

8th August 2019,"[b'\\U0001f60d', b'\\U0001f61c', b'\\U0001f602', b'\\U0001f917', b'\\U0001f60b']"

7th August 2019,"[b'\\U0001f914', b'\\U0001f525', b'\\u2665', b'\\u2744', b'\\U0001f418']"

6th August 2019,"[b'\\U0001f600', b'\\U0001f60d', b'\\U0001f917', b'\\U0001f914', b'\\U0001f606']"

5th August 2019,"[b'\\U0001f911', b'\\U0001f60d', b'\\U0001f913', b'\\U0001f60e', b'\\U0001f602']"

4th August 2019,"[b'\\U0001f911', b'\\U0001f60d', b'\\U0001f607', b'\\U0001f61d', b'\\U0001f600']"

3rd August 2019,"[b'\\U0001f607', b'\\U0001f60d', b'\\U0001f608', b'\\U0001f480', b'\\U0001f60a']"

2nd August 2019,"[b'\\U0001f60e', b'\\U0001f61c', b'\\U0001f914', b'\\U0001f60d', b'\\U0001f607']"

1st August 2019,"[b'\\U0001f913', b'\\U0001f60e', b'\\U0001f917', b'\\U0001f607', b'\\U0001f602']"

31st July 2019,"[b'\\U0001f60e', b'\\U0001f60d', b'\\U0001f60b', b'\\U0001f607', b'\\U0001f600']"

30th July 2019,"[b'\\U0001f911', b'\\U0001f60d', b'\\U0001f917', b'\\U0001f436', b'\\U0001f415']"

29th July 2019,"[b'\\U0001f608', b'\\U0001f60e', b'\\U0001f624', b'\\U0001f438', b'\\U0001f409']"

28th July 2019,"[b'\\U0001f917', b'\\U0001f911', b'\\U0001f984', b'\\U0001f445', b'\\U0001f624']"

27th July 2019,"[b'\\U0001f60d', b'\\U0001f618', b'\\U0001f445', b'\\U0001f498', b'\\U0001f4af']"

26th July 2019,"[b'\\U0001f98b', b'\\U0001f354', b'\\U0001f35f', b'\\U0001f388', b'\\U0001f405']"

25th July 2019,"[b'\\U0001f61c', b'\\U0001f60d', b'\\U0001f61d', b'\\U0001f60b', b'\\U0001f602']"

